LOCATION,LATITUDE,LONGITUDE
DEORIA,26.5,83.78
DEORIA,26.5,83.78
DEORIA,26.5,83.78
Budaun,28.03,79.12
DEORIA,26.5,83.78
DEORIA,26.5,83.78
DEORIA,26.5,83.78
DEORIA,26.5,83.78
West Champaran,26.8,84.5
Maharajganj,27.14,83.56
DEORIA,26.5,83.78
West Champaran,26.8,84.5
LUCKNOW,26.8467,80.9462
Balia,25.76,84.15
Mahabub Nagar,16.74,78.01
Bharatpur,27.22,77.49
West Champaran,26.8,84.5
Thane,19.22,72.98
